10:11:19.661 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:11:19.661 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:11:19.661 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:11:19.661 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:11:19.661 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:11:19.661 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:11:24.659 [schedule-pool-12] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:11:24.659 [schedule-pool-12] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:11:24.659 [schedule-pool-12] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:11:24.660 [schedule-pool-12] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:11:24.660 [schedule-pool-12] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:11:24.660 [schedule-pool-12] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:11:24.660 [schedule-pool-12] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:11:24.660 [schedule-pool-12] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:11:29.658 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:11:29.658 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
